"date","cloud.area","bloom.area.m2","vis.bloom","median","mean","min","max","sd","N","cloud.area.per","bloom.area.mi2","bloom.area.per","date2"
2021-06-23,315990000,22950000,0.76448196,554625.71295791,607088.881553897,135518.941235103,1541700.45294956,255535.135646,255,0.175124589177849,8.8610409,1.27191028881662,2021.47397260274
2021-06-24,443430000,132390000,1.07722458,432513.831035009,445292.798527291,10665.9612123026,1541700.45294956,222711.512775151,1471,0.245753019333313,51.11604378,7.33717660725193,2021.47671232877
2021-06-27,209160000,113670000,0,205116.217882556,222998.092609968,6486.34433548237,839459.986519397,169226.687124828,1263,0.115918412204307,43.88821434,6.29969684225642,2021.48493150685
2021-06-28,127350000,256500000,0.03474918,114815.362149688,169067.632846959,6486.34433548237,1306170.88813184,162097.293622806,2850,0.0705785513206083,99.035163,14.2154679338328,2021.48767123288
2021-06-30,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.49315068493
2021-07-01,297990000,610380000,45.59092416,524807.460249772,684721.165853148,36982.8179780266,3435579.47899875,523286.346698773,6782,0.165148822206738,235.66893876,33.8278257990364,2021.49589041096
2021-07-02,80730000,511560000,7.6448196,242102.904673618,332698.429043923,6486.34433548237,2208004.7330189,305552.750771638,5684,0.0447413148654316,197.51433912,28.3511297318967,2021.49863013699
2021-07-04,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.50410958904
2021-07-05,146250000,598140000,10.66799826,205116.217882556,323347.904794713,6486.34433548237,2831391.99579938,318437.018024479,6646,0.0810531066402746,230.94305028,33.1494736450009,2021.50684931507
2021-07-06,1431900000,0,0,NA,NA,Inf,-Inf,NA,0,0.793572262551858,0,0,2021.5095890411
2021-07-08,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.51506849315
2021-07-09,548190000,268290000,0.27799344,356451.133426244,362900.821803781,10375.2841581801,1202264.43461741,187351.529997233,2981,0.303811983105177,103.58730558,14.8688806704405,2021.51780821918
2021-07-10,142920000,15390000,0.10424754,554625.71295791,535426.243673053,1e+05,1018591.38805412,230573.188509097,171,0.0792075897506191,5.94210978,0.852928076029967,2021.52054794521
2021-07-12,376290000,270000,0,155596.563160508,155636.163621865,151356.124843621,159955.802861467,4299.97577319465,3,0.20854340853107,0.10424754,0.0149636504566661,2021.52602739726
2021-07-13,34290000,163980000,0.10424754,235504.928389601,259528.721522789,6486.34433548237,1137627.28582343,195649.297902635,1822,0.0190038360799659,63.31300596,9.08792371068187,2021.52876712329
2021-07-14,192330000,0,0,NA,NA,Inf,-Inf,NA,0,0.106591070086318,0,0,2021.53150684932
2021-07-16,74790000,90000,0,57543.9937337157,57543.9937337157,57543.9937337157,57543.9937337157,NA,1,0.041449311764965,0.03474918,0.00498788348555536,2021.53698630137
2021-07-17,1.53e+08,466380000,0,173780.082874937,230735.480220031,6486.34433548237,990831.944892767,188736.978152053,5182,0.0847940192544411,180.07025076,25.8472122221479,2021.5397260274
2021-07-18,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.54246575342
2021-07-20,8100000,94860000,0.03474918,159955.802861467,199788.515697279,6854.88226452661,1018591.38805412,146442.743976059,1054,0.00448909513699982,36.62563572,5.25722919377535,2021.54794520548
2021-07-21,34290000,404190000,0.27799344,118032.063565173,175289.889166971,6486.34433548237,1235947.43344451,164730.714022682,4491,0.0190038360799659,156.05856738,22.4005847336291,2021.55068493151
2021-07-24,59940000,457290000,3.1274262,173780.082874937,230153.985210212,6486.34433548237,2147830.47413053,229833.713923654,5081,0.0332193040137987,176.56058358,25.3434359901068,2021.55890410959
2021-07-25,18450000,706050000,5.07338028,199526.231496888,270896.920622694,6486.34433548237,2398832.91901949,254213.611645707,7845,0.0102251611453885,272.6073171,39.1299459441818,2021.56164383562
2021-07-27,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.56712328767
2021-07-28,54810000,529920000,12.96144414,173780.082874937,316608.107853489,6486.34433548237,3944573.02075278,406922.510074151,5888,0.0303762104270321,204.60317184,29.36865796295,2021.5698630137
2021-07-29,12960000,508500000,15.77612772,183653.834334835,343218.043465861,6486.34433548237,4405548.63506553,429852.665437282,5650,0.00718255221919972,196.332867,28.1815416933878,2021.57260273973
2021-07-31,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.57808219178
